date,aqi,pm2_5,pm10,co,temp_low,temp_high,humidity_low,humidity_high
2025-01-23,3.0,34.2,59.0,727.65,12.77,12.77,23,23
2025-01-24,3.54,44.53,86.87,769.38,11.34,25.62,7,24
2025-01-25,3.33,49.29,88.43,646.15,12.04,25.97,6,20
2025-01-26,3.75,56.79,88.2,722.09,12.57,27.94,5,16
2025-01-27,4.17,69.16,117.89,839.75,13.71,29.03,6,17
2025-01-28,5.0,114.9,161.65,1105.67,13.91,29.31,6,19
2025-01-29,3.5,43.28,97.85,516.95,15.21,30.18,8,36
2025-01-30,2.92,18.92,56.27,432.25,13.6,25.98,14,37
2025-01-31,3.04,28.56,74.3,507.22,12.51,24.89,10,26
2025-02-01,3.08,28.97,80.55,475.92,12.25,25.53,12,26
2025-02-02,3.46,47.44,85.06,590.52,12.39,25.64,11,27
2025-02-03,4.17,74.56,100.9,823.06,12.26,25.18,12,30
2025-02-04,3.71,46.29,89.71,672.44,12.63,25.3,12,30
2025-02-05,3.67,45.9,109.39,702.2,11.65,24.46,9,26
2025-02-06,4.0,61.05,115.29,767.29,12.49,26.23,6,17
2025-02-07,5.0,129.99,174.66,1012.48,11.94,25.53,7,18
2025-02-08,5.0,108.31,160.56,762.42,15.97,27.36,7,17
2025-02-09,5.0,120.91,182.35,798.86,15.08,29.09,7,23
2025-02-10,5.0,154.85,220.69,844.48,16.36,29.92,12,31
2025-02-11,3.75,56.09,111.0,639.34,16.77,30.04,15,28
2025-02-12,3.29,31.41,69.75,580.23,15.42,29.6,9,23
2025-02-13,4.33,70.72,123.16,930.98,16.5,31.44,10,19
2025-02-14,4.42,73.23,120.99,809.15,19.24,33.57,11,23
2025-02-15,3.79,54.77,91.4,685.93,18.67,33.06,13,31
2025-02-16,4.58,96.29,128.36,708.88,18.9,31.26,16,38
2025-02-17,2.88,28.18,58.14,585.52,18.22,30.88,18,39
2025-02-18,4.62,87.17,118.82,820.56,19.24,31.81,16,37
2025-02-19,4.92,94.7,116.39,750.18,16.61,31.3,15,53
2025-02-20,3.62,53.61,88.69,628.35,15.54,28.64,13,59
2025-02-21,3.71,54.26,73.13,584.96,14.46,27.62,17,62
2025-02-22,3.75,52.44,75.07,665.07,14.22,28.53,23,68
2025-02-23,4.21,68.29,100.57,719.31,17.15,30.96,21,48
2025-02-24,3.5,52.59,95.96,522.1,19.35,31.99,19,65
2025-02-25,4.04,65.99,98.07,641.98,18.97,30.17,24,61
2025-02-26,3.17,37.28,63.19,598.59,19.41,31.94,21,53
2025-02-27,2.83,33.14,47.73,605.54,19.69,29.31,27,58
2025-02-28,2.38,20.6,38.55,465.77,18.87,30.5,23,61
